  100        N. OF ITEMS
   10        W_STRIP
    8    9   H(I),W(I),I=1,...,N
    3    3
    1   10
    6    9
    3    2
   10    6
   10    9
    8    3
    4    3
    9    9
    9    3
    4    1
    4    1
    6    5
    9    9
    4    2
    8    7
   10    8
    1    5
    6    9
    6    7
    2    8
   10    3
    8    7
    9    1
    9    6
    6    8
    2    5
    4    1
    9    9
   10   10
    4    5
    8    1
    4    5
   10    1
    2    3
    4    1
    1    7
    2    6
    9    8
    8    4
    7   10
   10    5
   10    1
    9    4
    6    2
    9    9
    5    9
    8    1
    2    7
    7    4
    5    9
    2    6
    5   10
    8    9
    7    6
    9    6
    7    9
    7    6
    8    3
    1    9
    3    7
    2    1
    1   10
    5    8
    2    9
    6    2
    2   10
    8    8
    7    4
    5    2
   10    7
    4    7
    3    5
    6    7
    6    1
    7    9
    9    8
    4    5
    7    3
    7    9
    7    9
    2    8
    1   10
    6    5
    3    4
   10    3
   10   10
    9   10
    5    5
   10    7
    1    6
    5    9
    6    4
    8    3
    1    3
    7    1
    1    1
    3    7
    4   10
