  100        N. OF ITEMS
  100        W_STRIP
   76   88   H(I),W(I),I=1,...,N
   23   22
    9   91
   57   82
   23   19
   94   56
   94   83
   78   21
   35   27
   87   89
   90   29
   32    4
   36    1
   57   43
   84   86
   40   19
   80   63
   93   75
    1   43
   59   89
   57   69
   17   72
   94   21
   77   70
   89    8
   84   58
   53   76
   17   49
   31    1
   85   87
  100   96
   33   50
   72    5
   40   49
   91    5
   16   29
   35    8
    5   66
   15   58
   86   73
   75   33
   70   93
   93   43
  100    5
   81   34
   56   20
   82   83
   47   81
   75    2
   19   67
   70   34
   49   90
   12   57
   48   92
   79   83
   61   53
   83   57
   66   83
   66   55
   73   27
    8   89
   27   62
   19    3
    5  100
   43   75
   20   85
   59   17
   15   94
   78   72
   69   40
   43   19
   91   66
   34   69
   27   50
   60   65
   55    3
   67   87
   85   71
   32   44
   63   29
   66   82
   65   90
   14   77
    3   98
   54   42
   22   31
   96   21
   98  100
   85   91
   44   50
   98   64
    4   57
   48   84
   55   34
   78   29
    8   24
   67    9
    9    6
   24   70
   34   91
